10_7_Eggs_sd,1197
20_7_Eggs_sd,841
40_7_Eggs_sd,1456
80_7_Eggs_sd,504
160_7_Eggs_sd,123
0_4_Pollen_mean,12609
10_4_Pollen_mean,11662.2
20_4_Pollen_mean,10504.3
40_4_Pollen_mean,8861
80_4_Pollen_mean,6666.6
160_4_Pollen_mean,413.6
0_5_Pollen_mean,8527
10_5_Pollen_mean,5707.2
20_5_Pollen_mean,5409.4
40_5_Pollen_mean,2996
80_5_Pollen_mean,165.5
160_5_Pollen_mean,0
0_6_Pollen_mean,7060
10_6_Pollen_mean,5161.3
20_6_Pollen_mean,6749.2
40_6_Pollen_mean,4744
80_6_Pollen_mean,2762.7
160_6_Pollen_mean,16.58
0_7_Pollen_mean,5394
10_7_Pollen_mean,2018.3
20_7_Pollen_mean,3407.8
40_7_Pollen_mean,4427
80_7_Pollen_mean,1555.1
160_7_Pollen_mean,0
0_4_Pollen_sd,5279
10_4_Pollen_sd,6862
20_4_Pollen_sd,4681
40_4_Pollen_sd,5524
80_4_Pollen_sd,4629
160_4_Pollen_sd,730
0_5_Pollen_sd,4194
10_5_Pollen_sd,4266
20_5_Pollen_sd,2236
40_5_Pollen_sd,3395
80_5_Pollen_sd,387
160_5_Pollen_sd,0
0_6_Pollen_sd,6679
10_6_Pollen_sd,4869
20_6_Pollen_sd,3926
40_6_Pollen_sd,3790
80_6_Pollen_sd,3333
160_6_Pollen_sd,57
0_7_Pollen_sd,5238
10_7_Pollen_sd,1761
20_7_Pollen_sd,3134
40_7_Pollen_sd,3290
80_7_Pollen_sd,2154
160_7_Pollen_sd,0
0_4_Honey_mean,54294
10_4_Honey_mean,51163.5
20_4_Honey_mean,57135.2
40_4_Honey_mean,57764
80_4_Honey_mean,61700.7
160_4_Honey_mean,63950.3
0_5_Honey_mean,58221
10_5_Honey_mean,56539.8
20_5_Honey_mean,64678.2
40_5_Honey_mean,67454
80_5_Honey_mean,74156.6
160_5_Honey_mean,69359.5
0_6_Honey_mean,33788
10_6_Honey_mean,32157.2
20_6_Honey_mean,39088.2
40_6_Honey_mean,46251
80_6_Honey_mean,57399.8
160_6_Honey_mean,63371.2
0_7_Honey_mean,25167
10_7_Honey_mean,21190
20_7_Honey_mean,25871.2
40_7_Honey_mean,36008
80_7_Honey_mean,45192
160_7_Honey_mean,51891.3
0_4_Honey_sd,17960
10_4_Honey_sd,17677
20_4_Honey_sd,21588
40_4_Honey_sd,22555
80_4_Honey_sd,13704
160_4_Honey_sd,17201
0_5_Honey_sd,16294
10_5_Honey_sd,16428
20_5_Honey_sd,24020
40_5_Honey_sd,21236
80_5_Honey_sd,16267
160_5_Honey_sd,23505
0_6_Honey_sd,15970
10_6_Honey_sd,18307
20_6_Honey_sd,21803
40_6_Honey_sd,19439
80_6_Honey_sd,15305
160_6_Honey_sd,21428
0_7_Honey_sd,15544
10_7_Honey_sd,16415
20_7_Honey_sd,13951
40_7_Honey_sd,17909
80_7_Honey_sd,15271
160_7_Honey_sd,13679
